age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
25-30,Employed part-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,"No, I have no idea",Too expensive;I do not fully understand how it works;My employer does not offer it,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan;A promotional offer or incentive,Under N$500,Doctor visits;Dental;Mental health support,Because it’s not widely marketed and explained. Available plans do not cater to low income or self employed young Namibians. It’s very exclusive ,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Emergency cover,Cos it’s too expensive ,Negative
25-30,Self-employed,Prefer not to say,Other urban area,No,No,,,"No, I have no idea",Too expensive;I use alternatives like cash or pay for health insurance,5.0,Other,Under N$500,Doctor visits;Maternity cover;Emergency cover,The monthly salary they are getting is low.The economy is low some people are not working ,Neutral
31-35,Unemployed,Prefer not to say,Khomas Region,No,No,,,I have heard figures but I am not sure,On short-term contract which does not offer medical aid,3.0,A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Emergency cover,Because sometimes they can’t afford to pay for medical expenses or recruited by organizations that don’t offer medical insurances.,Neutral
31-35,Self-employed,"Under N$5,000",Other urban area,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,I have never thought about it,3.0,A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Chronic medication,Dont understand the importance of having it,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,Yes,Ruby,I have never heard of them,I have heard figures but I am not sure,,,,,Hospitalisation;Maternity cover;Emergency cover,To avoid medical aid deduction ,Neutral
25-30,Unemployed,"Under N$5,000",Rural area,No,No,,,"No, I have no idea",I do not fully understand how it works,1.0,A better understanding of the benefits,"Above N$2,000",Doctor visits,T avoid payments,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,Very expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,Lower monthly cost,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Maternity cover;Mental health support;Emergency cover,Its expensive. And benefits are not fully explained in LAME MANS TERMS,Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,I have never heard of them,"No, I have no idea",Too expensive,1.0,A better understanding of the benefits,Under N$500,Hospitalisation;Chronic medication;Dental;Maternity cover;Emergency cover,It is expensive ,Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,I have never heard of them,"No, I have no idea",Too expensive,1.0,A better understanding of the benefits,Under N$500,Hospitalisation;Chronic medication;Dental;Maternity cover;Emergency cover,It is expensive ,Negative
25-30,Self-employed,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Optical;Emergency cover,High premium payments ,Positive
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,No,None of the above,I have never heard of them,I have heard figures but I am not sure,Too expensive;My employer does not offer it,1.0,My employer covering part or all of the cost;A promotional offer or incentive,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental,It’s expensive and the medical aids that are of low prices only covers certain medical aid then you still need to top up from your end,Positive
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,No,,,"Yes, I have a good idea",,,,,Dental;Optical;Emergency cover,Expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Mental health support;Emergency cover,"A good majority of young Namibians are unemployed, the person worried about where they’ll obtain their next meal from won’t concern themselves with medical aid if their basic health issues can be attended to at a public hospital.",Positive
18-24,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Hospitalisation;Maternity cover;Emergency cover,The benefits we get for the high monthly fees we pay do not make sense. Most people would rather save that money in a different account and use it in an emergency.,Positive
25-30,Student,"Under N$5,000",Other urban area,No,No,None of the above,,I have heard figures but I am not sure,Too expensive,2.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"It’s expensive and does not always cover all necessities, making it quite pointless paying for it.",Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,No,Yes,Emerald Plus,Somewhat negative,"Yes, I have a good idea",On short-term contract which does not offer medical aid,3.0,More flexible or customisable plan,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Emergency cover,They can’t afford and the affordable option have very limited benefits.,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,None of the above,I have never heard of them,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Optical,Avoid paying an extra cost ,Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Opal;Jade;Ruby;Emerald Plus,Somewhat positive,"Yes, I have a good idea",On short-term contract which does not offer medical aid,5.0,A promotional offer or incentive,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Emergency cover,It is expensive ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Emerald;Jade;Ruby,Somewhat positive,"Yes, I have a good idea",,,,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover,It’s expensive ,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust,"N$500 - N$1,000",Doctor visits;Optical;Maternity cover;Mental health support;Emergency cover,Lack of education/awareness when it comes to medical aid ,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Too expensive;My employer does not offer it,3.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Dental;Optical,Infaltion on prices makes it difficult for you g namibians to stay affloat and afford basic living ,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,Lower monthly cost,Under N$500,Doctor visits,They can't afford to get one ,Neutral
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,None of the above,Neutral,"Yes, I have a good idea",,,,,Hospitalisation;Maternity cover;Emergency cover,Costs,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus;None of the above,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Emergency cover,"It is way too expensive and big co-payments for meds, visits and treatments.",Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,None of the above,,"No, I have no idea",Unemployed ,3.0,Other,Under N$500,Emergency cover,Because They’re Unemployed ,Neutral
18-24,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,Maybe,None of the above,,"No, I have no idea",Too expensive;I do not fully understand how it works;My employer does not offer it,1.0,Lower monthly cost;A better understanding of the benefits;A recommendation from someone I trust,"N$500 - N$1,000",Doctor visits;Emergency cover,Lack of information ,Neutral
